stage,chinese_stage,kml_file,poems,year_range,avg_age,total_chars,avg_chars,avg_lines,main_places,top_themes_per_100_chars,top_bigrams
"Stage 1: Youth, 701-724",第一时期：蜀中少年期,Stage1_Youth_701_724.kml,13,715-724,18.2,616,47.4,4.5,江油:8; 重庆:2; 峨眉山:2; 成都:1,山水自然:10.06; 行旅空间:4.22; 愁苦漂泊:1.46; 仕宦功名:0.81,峨眉:3; 露湿:2; 千里:2; 三峡:2; 向三:2; 霭飞:1; 霭内:1; 霭散:1; 巴船:1; 巴水:1
"Stage 2: Travels, 725-741",第二时期：出蜀与漫游期,Stage2_Travels_725_741.kml,132,725-741,31.9,9143,69.3,6.6,安陆:19; 济宁:14; 武汉:10; 西安:10; 登封:9; 南京:8; 洛阳:7; 襄阳:6,山水自然:7.51; 行旅空间:3.26; 仕宦功名:1.89; 酒宴歌舞:1.51,流水:10; 青云:10; 黄金:8; 万里:7; 东南:6; 风吹:6; 美酒:6; 叹息:6; 天地:6; 悠悠:6
"Stage 3: Chang'an, 742-744",第三时期：长安时期,Stage3_Changan_742_744.kml,56,742-744,42.3,4301,76.8,7,西安:39; 杞县:4; 济宁:3; 商州:3; 济南:2; 曲阜:2; 砀山:1; 深州:1,山水自然:6.81; 行旅空间:2.98; 仕宦功名:2.44; 边塞战争:1.7,春风:5; 东海:4; 光辉:4; 汉家:4; 天地:4; 万乘:4; 白云:3; 草绿:3; 朝天:3; 出门:3
"Stage 4: Exile and Late Travels, 745-762",第四时期：放还、乱离与晚年期,Stage4_Exile_745_762.kml,257,745-762,53.6,23615,91.9,8.6,南京:31; 武汉:28; 九江:27; 宣城:27; 当涂:16; 池州:12; 兖州:10; 岳阳:10,山水自然:7.03; 行旅空间:3.23; 仕宦功名:2.19; 酒宴歌舞:1.43,万里:24; 浮云:17; 千里:17; 风吹:14; 黄金:14; 青天:14; 天地:14; 春风:13; 黄鹤:13; 青云:13
